[0.000000] (-) TimerEvent: {}
[0.000221] (-) JobUnselected: {'identifier': 'examples_rclcpp_async_client'}
[0.000238] (-) JobUnselected: {'identifier': 'examples_rclcpp_cbg_executor'}
[0.000249] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_action_client'}
[0.000258] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_action_server'}
[0.000266] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_client'}
[0.000275] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_composition'}
[0.000283] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_publisher'}
[0.000295] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_service'}
[0.000309] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_subscriber'}
[0.000317] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_timer'}
[0.000325] (-) JobUnselected: {'identifier': 'examples_rclcpp_multithreaded_executor'}
[0.000340] (-) JobUnselected: {'identifier': 'examples_rclcpp_wait_set'}
[0.000348] (-) JobUnselected: {'identifier': 'examples_rclpy_executors'}
[0.000357] (-) JobUnselected: {'identifier': 'examples_rclpy_guard_conditions'}
[0.000365] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_action_client'}
[0.000373] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_action_server'}
[0.000388] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_client'}
[0.000396] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_publisher'}
[0.000404] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_service'}
[0.000413] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_subscriber'}
[0.000421] (-) JobUnselected: {'identifier': 'examples_rclpy_pointcloud_publisher'}
[0.000429] (-) JobUnselected: {'identifier': 'lab1'}
[0.000437] (-) JobUnselected: {'identifier': 'lab1_interfaces'}
[0.000446] (-) JobUnselected: {'identifier': 'launch_testing_examples'}
[0.000454] (-) JobUnselected: {'identifier': 'lecture2'}
[0.000462] (-) JobUnselected: {'identifier': 'lecture3'}
[0.000470] (-) JobUnselected: {'identifier': 'lecture3_interfaces'}
[0.000477] (-) JobUnselected: {'identifier': 'turtle_bringup'}
[0.000485] (-) JobUnselected: {'identifier': 'turtle_bringup'}
[0.000493] (-) JobUnselected: {'identifier': 'turtlesim_plus'}
[0.000501] (-) JobUnselected: {'identifier': 'turtlesim_plus_interfaces'}
[0.000592] (-) EventReactorShutdown: {}
